bucket,concurrency,repeat,requests,errors,visual_tokens_per_request,wall_seconds,visual_tokens_per_second,client_mean_ms,client_p50_ms,client_p95_ms,encoder_path_mean_ms,encoder_path_p95_ms,downstream_mean_ms,gpu0_util_mean,gpu0_util_peak,gpu0_memory_util_mean,gpu0_memory_util_peak,gpu0_power_watts_mean,gpu0_power_watts_peak,gpu0_memory_used_mib_mean,gpu0_memory_used_mib_peak,gpu0_samples,gpu1_util_mean,gpu1_util_peak,gpu1_memory_util_mean,gpu1_memory_util_peak,gpu1_power_watts_mean,gpu1_power_watts_peak,gpu1_memory_used_mib_mean,gpu1_memory_used_mib_peak,gpu1_samples,encoder_running_mean,encoder_running_peak,encoder_waiting_mean,encoder_waiting_peak,encoder_kv_cache_usage_mean,encoder_kv_cache_usage_peak,pd_running_mean,pd_running_peak,pd_waiting_mean,pd_waiting_peak,pd_kv_cache_usage_mean,pd_kv_cache_usage_peak
low,16,2,64,0,256,2.205328048,7429.280199314818,506.22679459375,506.828235,752.370218,506.22679459375,752.370218,,37.666666666666664,82.0,2.6666666666666665,7.0,192.17666666666668,219.1,19176.0,19176.0,12.0,0.0,0.0,0.0,0.0,119.93166666666667,120.02,119556.0,119556.0,12.0,2.4166666666666665,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,1,0,32,0,256,2.65592408,3084.425515657059,82.94252221875,94.418115,105.510693,82.94252221875,105.510693,,18.85,24.0,0.95,1.0,148.4595,156.82,19176.0,19176.0,20.0,0.0,0.0,0.0,0.0,120.0695,120.11,119556.0,119556.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,1,1,32,0,256,2.628300344,3116.8431791675025,82.076265125,92.647889,106.145982,82.076265125,106.145982,,18.444444444444443,25.0,0.8888888888888888,1.0,146.5211111111111,153.21,19176.0,19176.0,9.0,0.0,0.0,0.0,0.0,120.13888888888889,120.18,119556.0,119556.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,1,2,32,0,256,2.655937599,3084.409815608774,82.9403875625,91.325593,105.08055,82.9403875625,105.08055,,19.473684210526315,24.0,1.0,1.0,148.2521052631579,154.36,19176.0,19176.0,19.0,0.0,0.0,0.0,0.0,120.04,120.11,119556.0,119556.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,4,0,32,0,256,2.202646541,3719.1623111172607,259.86100246875,276.745087,404.154111,259.86100246875,404.154111,,22.9,32.0,1.1,2.0,152.511,164.59,8178.0,8178.0,10.0,0.0,0.0,0.0,0.0,119.975,120.04,119556.0,119556.0,10.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,4,1,32,0,256,2.071548989,3954.52873357078,246.624733375,216.172001,395.142266,246.624733375,395.142266,,24.6,31.0,1.4,2.0,151.748,164.79,19176.0,19176.0,10.0,0.0,0.0,0.0,0.0,120.104,120.15,119556.0,119556.0,10.0,0.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,4,2,32,0,256,2.142177881,3824.1455448955785,256.7387845,232.950948,405.901318,256.7387845,405.901318,,24.545454545454547,31.0,1.3636363636363635,2.0,157.0609090909091,166.59,19176.0,19176.0,11.0,0.0,0.0,0.0,0.0,119.98818181818181,120.05,119556.0,119556.0,11.0,0.7272727272727273,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,16,0,64,0,1024,3.688220495,17769.00271793539,880.540385828125,881.803061,1188.602624,880.540385828125,1188.602624,,88.70270270270271,100.0,8.567567567567568,10.0,309.41945945945946,332.31,8177.405405405405,8178.0,37.0,0.0,0.0,0.0,0.0,120.05,120.11,119556.0,119556.0,37.0,4.135135135135135,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,16,1,64,0,1024,3.667265875,17870.53413464329,886.040431703125,878.603309,1232.911591,886.040431703125,1232.911591,,88.17142857142858,100.0,8.485714285714286,10.0,296.79114285714286,337.36,19176.0,19176.0,35.0,0.0,0.0,0.0,0.0,119.94171428571428,120.0,119556.0,119556.0,35.0,4.371428571428571,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,16,2,64,0,1024,3.716805343,17632.346585872845,887.4559044375001,882.66061,1322.472625,887.4559044375001,1322.472625,,85.5,100.0,8.25,10.0,284.71285714285716,336.15,19176.0,19176.0,28.0,0.0,0.0,0.0,0.0,120.00428571428571,120.07,119556.0,119556.0,28.0,4.142857142857143,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,1,0,32,0,1024,3.99085594,8210.769943251824,124.64912393750001,121.063216,149.200056,124.64912393750001,149.200056,,43.7,57.0,3.025,4.0,199.59025,216.7,19176.0,19176.0,40.0,0.0,0.0,0.0,0.0,120.06875,120.13,119556.0,119556.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,1,1,32,0,1024,3.599777738,9102.784223063052,112.432976125,111.456748,140.573719,112.432976125,140.573719,,46.26923076923077,61.0,3.1923076923076925,4.0,204.4176923076923,231.92,19176.0,19176.0,26.0,0.0,0.0,0.0,0.0,119.9326923076923,120.0,119556.0,119556.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,1,2,32,0,1024,4.100429774,7991.357444474551,128.0795903125,127.254477,147.342157,128.0795903125,147.342157,,42.09756097560975,56.0,3.1219512195121952,4.0,199.39170731707316,218.16,19176.0,19176.0,41.0,0.0,0.0,0.0,0.0,119.96512195121952,120.03,119556.0,119556.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,4,0,32,0,1024,2.500992681,13101.997558384697,310.39892887499997,330.994264,450.960616,310.39892887499997,450.960616,,66.52380952380952,94.0,5.333333333333333,8.0,238.5209523809524,285.02,19176.0,19176.0,21.0,0.0,0.0,0.0,0.0,119.98904761904762,120.03,119556.0,119556.0,21.0,0.6190476190476191,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,4,1,32,0,1024,2.34663163,13963.844849393767,288.9396720625,286.226235,375.292171,288.9396720625,375.292171,,71.04761904761905,93.0,5.428571428571429,8.0,247.62285714285713,290.7,19176.0,19176.0,21.0,0.0,0.0,0.0,0.0,119.92238095238095,119.97,119556.0,119556.0,21.0,0.8571428571428571,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,4,2,32,0,1024,2.381817264,13757.56255329586,282.32066928125,298.248681,361.576653,282.32066928125,361.576653,,60.0,82.0,5.214285714285714,8.0,218.8607142857143,284.75,19176.0,19176.0,14.0,0.0,0.0,0.0,0.0,119.955,120.02,119556.0,119556.0,14.0,0.21428571428571427,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
