workload,input_tokens,output_tokens,concurrency,repeat,requests,errors,wall_seconds,tokens_per_second,client_mean_ms,client_p50_ms,client_p95_ms,ttft_seconds,tpot_seconds,queue_seconds,prefill_seconds,decode_seconds,gpu0_util_mean,gpu0_util_peak,gpu0_memory_util_mean,gpu0_memory_util_peak,gpu0_power_watts_mean,gpu0_power_watts_peak,gpu0_memory_used_mib_mean,gpu0_memory_used_mib_peak,gpu1_util_mean,gpu1_util_peak,gpu1_memory_util_mean,gpu1_memory_util_peak,gpu1_power_watts_mean,gpu1_power_watts_peak,gpu1_memory_used_mib_mean,gpu1_memory_used_mib_peak,pd_running_mean,pd_running_peak,pd_waiting_mean,pd_waiting_peak,pd_kv_cache_usage_mean,pd_kv_cache_usage_peak
decode,4096,1024,1,0,1,0,13.852510677,73.92161781186692,13852.510677,13852.510677,13852.510677,0.42910075187683105,0.013112801672455654,3.283936530351639e-05,0.426333068870008,13.414396110922098,0.0,0.0,0.0,0.0,119.04435483870968,119.14,19176.0,19176.0,44.61290322580645,100.0,28.080645161290324,30.0,248.83620967741936,276.36,119558.0,119558.0,0.967741935483871,1.0,0.0,0.0,0.002420634346666549,0.0027592867243817487
decode,4096,1024,1,1,1,0,13.722067094,74.62432540121786,13722.067094,13722.067094,13722.067094,0.42785191535949707,0.012986046950335561,2.228282392024994e-05,0.4254547404125333,13.28472603019327,0.0,0.0,0.0,0.0,119.24582677165354,119.35,19176.0,19176.0,44.874015748031496,100.0,28.023622047244096,30.0,252.73503937007874,291.45,119558.0,119558.0,0.968503937007874,1.0,0.0,0.0,0.0024009325085528406,0.0027592867243817487
decode,4096,1024,1,2,1,0,13.795991215,74.22446013785752,13795.991215,13795.991215,13795.991215,0.43051910400390625,0.01305752753836309,2.745073288679123e-05,0.426167200319469,13.357850671745837,0.0,0.0,0.0,0.0,119.44421052631579,119.76,19176.0,19176.0,44.43609022556391,100.0,27.81954887218045,29.0,256.66714285714284,268.07,119558.0,119558.0,0.9624060150375939,1.0,0.0,0.0,0.002392073378355005,0.0027592867243817487
decode,4096,1024,8,0,8,0,17.373617356,471.5195363256278,17350.240708625002,17350.249622,17366.76174,2.3297642171382904,0.014668456192254903,0.6231811651960015,1.6809443935053423,15.005830684676766,0.0,0.0,0.0,0.0,119.11865030674846,119.29,19176.0,19176.0,64.1717791411043,100.0,26.60122699386503,32.0,277.97030674846627,294.87,119558.0,119558.0,7.251533742331288,8.0,0.3067484662576687,4.0,0.01780189590929395,0.02207429379505399
decode,4096,1024,8,1,8,0,17.302478909,473.4581699584605,17283.12578875,17286.027964,17298.560503,2.331301897764206,0.01459997686416814,0.665971141657792,1.6267256883438677,14.935776332044043,0.0,0.0,0.0,0.0,119.22895061728396,119.39,19176.0,19176.0,64.85185185185185,100.0,26.493827160493826,33.0,277.5264814814815,293.45,119558.0,119558.0,7.320987654320987,8.0,0.48148148148148145,5.0,0.01792349409159215,0.02207429379505399
decode,4096,1024,8,2,8,0,17.36996754,471.6186130535509,17350.80754875,17350.423101,17367.558449,2.331779330968857,0.014664841160352993,0.6659096094081178,1.6266956166364253,15.002132507041097,0.0,0.0,0.0,0.0,119.34246835443038,119.43,19176.0,19176.0,64.64556962025317,100.0,26.310126582278482,32.0,278.43930379746837,298.11,119558.0,119558.0,7.284810126582278,8.0,0.4620253164556962,5.0,0.017904419966932227,0.02207429379505399
decode,4096,256,16,0,16,0,10.292007185,397.97873499055476,10242.3844169375,10240.528418,10276.598516,4.121557608246803,0.02396685325554298,2.2131015937775373,1.8674527848488651,6.11154758016346,0.0,0.0,0.0,0.0,119.2176530612245,119.42,19176.0,19176.0,85.54081632653062,100.0,16.622448979591837,36.0,283.20438775510206,358.68,119558.0,119558.0,11.071428571428571,16.0,4.1020408163265305,13.0,0.024887868781838275,0.037526299451591805
decode,4096,256,16,1,16,0,10.296128134,397.8194469505618,10247.3304638125,10252.70513,10280.559797,4.119589477777481,0.023956987015702064,2.2140595836681314,1.8673783887643367,6.109031689004041,0.0,0.0,0.0,0.0,119.30489583333333,119.41,19176.0,19176.0,84.95833333333333,100.0,16.541666666666668,36.0,280.32697916666666,320.82,119558.0,119558.0,11.208333333333334,16.0,3.9583333333333335,13.0,0.025193671029788815,0.037526299451591805
decode,4096,256,16,2,16,0,10.312590293,397.18440116643546,10263.678816,10268.890111,10303.251967,4.123961925506592,0.02400116195842872,2.2115726874326356,1.8671442798804492,6.120296299399342,0.0,0.0,0.0,0.0,119.21306122448979,119.35,19176.0,19176.0,85.5,100.0,16.459183673469386,36.0,279.5392857142857,341.22,119558.0,119558.0,11.142857142857142,16.0,4.020408163265306,13.0,0.02503999909900843,0.03750905390956438
decode,4096,256,1,0,1,0,3.736177795,68.51922313295586,3736.177795,3736.177795,3736.177795,0.43021392822265625,0.012921925451533478,2.541765570640564e-05,0.42546688113361597,3.295090990141034,0.0,0.0,0.0,0.0,118.93027027027027,118.97,19176.0,19176.0,48.16216216216216,100.0,25.864864864864863,30.0,247.05945945945945,283.03,119558.0,119558.0,0.8918918918918919,1.0,0.0,0.0,0.0020354400549620014,0.0023453937157245086
decode,4096,256,1,1,1,0,3.752193468,68.22675914322016,3752.193468,3752.193468,3752.193468,0.43280792236328125,0.01300054777632731,2.233404666185379e-05,0.4259417876601219,3.3151396829634905,0.0,0.0,0.0,0.0,119.26135135135135,119.3,19176.0,19176.0,48.513513513513516,100.0,26.10810810810811,30.0,245.5672972972973,268.55,119558.0,119558.0,0.8918918918918919,1.0,0.0,0.0,0.0020352070070967644,0.0023453937157245086
decode,4096,256,1,2,1,0,3.765623386,67.98343162828445,3765.623386,3765.623386,3765.623386,0.4332771301269531,0.013048949099931484,2.0940788090229034e-05,0.42666586581617594,3.327482020482421,0.0,0.0,0.0,0.0,119.45384615384616,119.51,19176.0,19176.0,48.07692307692308,100.0,24.96153846153846,29.0,245.46807692307692,274.72,119558.0,119558.0,0.8461538461538461,1.0,0.0,0.0,0.0019424449933538228,0.0023453937157245086
decode,4096,256,8,0,8,0,6.869392107,298.1340951425762,6844.427609375,6849.649011,6863.027615,2.337572306394577,0.017616810894790405,0.61599074176047,1.6866390221985057,4.492286778171547,0.0,0.0,0.0,0.0,118.9331746031746,119.04,19176.0,19176.0,77.06349206349206,100.0,17.793650793650794,32.0,266.7290476190476,288.43,119558.0,119558.0,6.063492063492063,8.0,0.7936507936507936,4.0,0.013685569423161249,0.018763149725795847
decode,4096,256,8,1,8,0,6.876237602,297.8372939591741,6857.396548875,6860.594233,6872.597531,2.3305725157260895,0.017686993323321354,0.6658685841830447,1.6266917577013373,4.510183297446929,0.0,0.0,0.0,0.0,119.46569230769231,119.57,19176.0,19176.0,74.35384615384615,100.0,19.630769230769232,32.0,266.1813846153846,287.97,119558.0,119558.0,6.276923076923077,8.0,1.1076923076923078,5.0,0.014174376308339693,0.018763149725795847
decode,4096,256,8,2,8,0,6.86702504,298.2368621157671,6843.656924625,6844.313657,6863.379923,2.3288007974624634,0.017635725262374002,0.6160602761665359,1.6795212920987979,4.497109941905364,0.0,0.0,0.0,0.0,119.23421875,119.31,19176.0,19176.0,78.125,100.0,17.625,32.0,267.100625,287.15,119558.0,119558.0,6.09375,8.0,0.78125,4.0,0.013751568266478113,0.018763149725795847
prefill,16000,1,16,0,16,0,30.700140261,8338.724117336045,16630.4951600625,15695.834917,30670.540633,16.58251504600048,0.0,12.777243527467363,3.7416942077106796,0.0,0.0,0.0,0.0,0.0,119.30470790378007,119.39,19176.0,19176.0,99.35395189003437,100.0,6.0687285223367695,7.0,276.67041237113403,281.82,119558.0,119558.0,1.4501718213058419,2.0,6.649484536082475,14.0,0.007934845749590228,0.011726968578622432
